Time [s];Ratio 670nm / 650nm;Capillary Position
5.4503;0.9580889;17
5.5003;0.9611784;17
5.5503;0.963272;17
5.6003;0.9634;17
5.650301;0.9638475;17
5.7003;0.9638944;17
5.7503;0.9651741;17
5.8003;0.9643857;17
5.8503;0.9644749;17
5.900301;0.9644234;17
5.9503;0.9603586;17
6.0003;0.9642165;17
6.0503;0.9632434;17
6.1003;0.9618528;17
6.150301;0.9610153;17
6.2004;0.9673041;17
6.2504;0.9647789;17
6.3004;0.9662417;17
6.3504;0.965542;17
6.4004;0.9615626;17
6.4504;0.9690267;17
6.5004;0.9630483;17
6.5504;0.9646515;17
6.6004;0.9651904;17
6.6504;0.9706564;17
6.7004;0.9660657;17
6.7504;0.9631085;17
6.8004;0.9649366;17
6.8504;0.9645092;17
6.9004;0.9641755;17
6.9504;0.9669161;17
7.0004;0.9638432;17
7.0504;0.9716917;17
7.1004;0.9654598;17
7.1504;0.9608503;17
7.2004;0.967226;17
7.2504;0.9688727;17
7.3004;0.9650843;17
7.3504;0.9675295;17
7.4004;0.9685733;17
7.4504;0.9636696;17
7.5004;0.9660475;17
7.5504;0.9657884;17
7.6004;0.9656612;17
7.6504;0.9636787;17
7.7004;0.9661354;17
7.7504;0.9650236;17
7.8004;0.9682245;17
7.8504;0.9656972;17
7.9004;0.9616142;17
7.9504;0.9689994;17
8.0005;0.9697723;17
8.050501;0.966093;17
8.1005;0.9642569;17
8.150499;0.965418;17
8.2005;0.9673495;17
8.2505;0.9662015;17
8.300501;0.9683419;17
8.3505;0.9652553;17
8.400499;0.9665294;17
8.4505;0.9674667;17
8.5005;0.9692816;17
8.550501;0.9667074;17
8.6005;0.9672034;17
8.650499;0.9676104;17
8.7005;0.9653411;17
8.7505;0.9691061;17
8.800501;0.9656462;17
8.8505;0.9663959;17
8.900499;0.9688792;17
8.9505;0.9694171;17
9.0005;0.9672644;17
9.050501;0.9680676;17
9.1005;0.9658747;17
9.150499;0.9712855;17
9.2005;0.9701612;17
9.2505;0.9661443;17
9.300501;0.9707058;17
9.3505;0.9644746;17
9.400499;0.9689076;17
9.4505;0.9691073;17
9.5005;0.9650316;17
9.550501;0.9669824;17
9.6005;0.9678568;17
9.650499;0.9669582;17
9.7005;0.9707326;17
9.7505;0.9705782;17
9.8006;0.9701324;17
9.850599;0.9668998;17
9.9006;0.9699029;17
9.9506;0.9670624;17
10.0006;0.9703133;17
10.0006;0.9703133;17
-4.9503;0.5298309;2
-4.9003;0.5294437;2
-4.8503;0.5284692;2
-4.8003;0.5293731;2
-4.7503;0.5292041;2
-4.7002;0.5283868;2
-4.6502;0.5296357;2
-4.6002;0.5296553;2
-4.5502;0.5292536;2
-4.5002;0.5286275;2
-4.4502;0.5275444;2
-4.4002;0.5275528;2
-4.3502;0.5298233;2
-4.3002;0.5287582;2
-4.2502;0.5286754;2
-4.2002;0.5301636;2
-4.1502;0.5278617;2
-4.1002;0.529686;2
-4.0502;0.5295258;2
-4.0002;0.5308377;2
-3.9502;0.5289976;2
-3.9002;0.5291796;2
-3.8502;0.5283519;2
